Store,Keyword,Product Name,Unit Size,Price Text,Price,URL,Scrape Date
Spice Divine,Masoor Dal,24 Mantra  Organic Masoor Dal,4lb,N/A,0.0,https://spicedivine.ca/products/24-mantra-organic-masoor-dal-4lb,2026-02-26
Spice Divine,Besan Flour,24 Mantra Organic Besan (Chickpea Flour),2lb,$9.99,9.99,https://spicedivine.ca/products/24-mantra-besan-chickpea-flour-2lb,2026-02-26
Spice Divine,Chana Dal,24 Mantra Organic Chana Dal (Split Chickpea) -,2lb,$8.99,8.99,https://spicedivine.ca/products/24-mantra-organic-chana-dal-split-chickpea-2lb,2026-02-26
Spice Divine,Chana Dal,24 Mantra Organic Chana Dal (Split Chickpea) -,4lb,$14.69,14.69,https://spicedivine.ca/products/24-mantra-organic-chana-dal-split-chickpea-2lb,2026-02-26
Spice Divine,Coriander Powder,24 Mantra Organic Coriander Powder,200g,$5.99,5.99,https://spicedivine.ca/products/24-mantra-organic-coriander-powder-200g,2026-02-26
Spice Divine,Cumin seed,24 Mantra Organic Cumin Seeds,200g,$8.99,8.99,https://spicedivine.ca/products/24-mantra-organic-cumin-seeds-200g,2026-02-26
Spice Divine,Fenugreek Powder,24 Mantra Organic Fenugreek Powder,200g,$2.99,2.99,https://spicedivine.ca/products/24-mantra-organic-fenugreek-powder-200g,2026-02-26
Spice Divine,Jaggery Cube,24 Mantra Organic Jaggery Cube,450g,$5.99,5.99,https://spicedivine.ca/products/24-mantra-organic-jaggery-cube-450g,2026-02-26
Spice Divine,Jaggery Powder,24 Mantra Organic Jaggery Powder,500g,$4.99,4.99,https://spicedivine.ca/products/24-mantra-organic-jaggary-powder-500g,2026-02-26
Spice Divine,Kabuli chana,24 Mantra Organic Kabuli Chana -,2lb,$9.99,9.99,https://spicedivine.ca/products/24-mantra-organic-kabuli-chana-2lb,2026-02-26
Spice Divine,Kabuli chana,24 Mantra Organic Kabuli Chana -,4lb,$15.69,15.69,https://spicedivine.ca/products/24-mantra-organic-kabuli-chana-2lb,2026-02-26
Spice Divine,Masoor Dal,24 Mantra Organic Masoor Dal,2Lb,$8.99,8.99,https://spicedivine.ca/products/24-mantra-organic-masoor-dal-2lb,2026-02-26
Spice Divine,Masoor Dal,24 Mantra Organic Masoor Dal,4Lb,$13.99,13.99,https://spicedivine.ca/products/24-antra-organic-masoor-dal-4lb,2026-02-26
Spice Divine,Moong Dal,24 Mantra Organic Moong Dal,2lb,$8.99,8.99,https://spicedivine.ca/products/24-mantra-organic-moong-dal-mung-bean-2lb,2026-02-26
Spice Divine,Rice Flour,24 Mantra Organic Rice Flour,2lb,$4.99,4.99,https://spicedivine.ca/products/24-mantra-organic-rice-flour-2lb,2026-02-26
Spice Divine,Sugar,24 Mantra Organic Sugar,1kg,$6.99,6.99,https://spicedivine.ca/products/24-mantra-organic-sugar-1kg,2026-02-26
Spice Divine,Toor Dal,24 Mantra Organic Toor Dal -,2lb,$9.99,9.99,https://spicedivine.ca/products/24-mantra-organic-tur-dal,2026-02-26
Spice Divine,Toor Dal,24 Mantra Organic Toor Dal,4Lb,$15.99,15.99,https://spicedivine.ca/products/24-mantra-organic-toor-dal-4lb,2026-02-26
Spice Divine,Turmeric Powder,24 Mantra Organic Turmeric Powder -,100g,$2.99,2.99,https://spicedivine.ca/products/24-mantra-organic-turmeric-powder-100g,2026-02-26
Spice Divine,Turmeric Powder,24 Mantra Organic Turmeric Powder -,200g,$5.39,5.39,https://spicedivine.ca/products/24-mantra-organic-turmeric-powder-100g,2026-02-26
Spice Divine,Turmeric Powder,24 Mantra Organic Turmeric Powder -  (11oz),311.8g(11oz),$5.99,5.99,https://spicedivine.ca/products/24-mantra-organic-turmeric-powder-100g,2026-02-26
Spice Divine,Urad Whole,24 Mantra Organic Urad Black Whole -,4lb,$18.79,18.79,https://spicedivine.ca/products/24-mantra-organic-urad-black-whole-4lb,2026-02-26
Spice Divine,Urad Whole,24 Mantra Organic Urad Black Whole -,2Lb,$8.99,8.99,https://spicedivine.ca/products/24-mantra-organic-urad-black-whole-4lb,2026-02-26
Spice Divine,Urad Whole,24 Mantra Organic Urad White Whole,2lb,$8.99,8.99,https://spicedivine.ca/products/24-mantra-organic-urad-white-whole-2lb,2026-02-26
Spice Divine,Chilli Whole,A-1 Red Chilli Whole Round,200g,$4.49,4.49,https://spicedivine.ca/products/a-1-red-chilli-whole-round-200g,2026-02-26
Spice Divine,Baking Powder,a2z Baking Powder,200g,$2.49,2.49,https://spicedivine.ca/products/a2z-baking-powder-200g,2026-02-26
Spice Divine,Coriander Powder,Aachi Coriander Powder,160g,$3.49,3.49,https://spicedivine.ca/products/aachi-coriander-powder-160g,2026-02-26
Spice Divine,Turmeric Powder,Aachi Turmeric Powder,160g,$3.29,3.29,https://spicedivine.ca/products/aachi-turmeric-powder-160g,2026-02-26
Spice Divine,Dhana Dal,Aara Dhana dal,200g,$2.19,2.19,https://spicedivine.ca/products/aara-dhana-dal-200g,2026-02-26
Spice Divine,Whole Wheat Atta,Aashirvaad Whole Wheat Atta -  (20 LB),9.07kg(20LB),$23.99,23.99,https://spicedivine.ca/products/aashirwad-whole-wheat-flour-9-07kg,2026-02-26
Spice Divine,Whole Wheat Atta,Aashirvaad Whole Wheat Atta -  (11lb),5kg(11lb),$13.99,13.99,https://spicedivine.ca/products/aashirwad-whole-wheat-flour-9-07kg,2026-02-26
Spice Divine,Whole Wheat Atta,Aashirvaad Whole Wheat Atta - (4.4lb),2kg(4.4lb),$6.27,6.27,https://spicedivine.ca/products/aashirwad-whole-wheat-flour-9-07kg,2026-02-26
Spice Divine,Poha Thick,AgroPure Thick Poha m,500g,$2.09,2.09,https://spicedivine.ca/products/agropure-thick-poha-500gm,2026-02-26
Spice Divine,Sugar,Ajanta Cane Sugar,10lb,$10.49,10.49,https://spicedivine.ca/products/ajantacanesugar10lb,2026-02-26
Spice Divine,Chana Dal,Ajanta Chana Dal,8lb,$11.99,11.99,https://spicedivine.ca/products/ajanta-chana-dal-8lb,2026-02-26
Spice Divine,Moong Dal,Ajanta Moong Dal,8lb,$16.15,16.15,https://spicedivine.ca/products/ajanta-moong-dal-8lb,2026-02-26
Spice Divine,Mustard seed,Ajanta Organic Mustard Seeds Black,85g,$2.49,2.49,https://spicedivine.ca/products/ajanta-organic-mustard-seeds-black-85g,2026-02-26
Spice Divine,Cinnamon,Ajanta Organics Cinnamon powder,85g,$2.49,2.49,https://spicedivine.ca/products/ajanta-organics-cinnamon-powder-85g,2026-02-26
Spice Divine,Cinnamon,Ajanta Organics Cinnamon Whole round,25g,$2.49,2.49,https://spicedivine.ca/products/ajanta-organics-cinnamon-whole-round-25g,2026-02-26
Spice Divine,Clove Whole,Ajanta Organics Clove whole,50g,$3.99,3.99,https://spicedivine.ca/products/ajanta-organics-clove-whole-50g,2026-02-26
Spice Divine,Coriander Powder,Ajanta Organics Coriander powder,85g,$2.49,2.49,https://spicedivine.ca/products/ajanta-organics-coriander-powder-85g,2026-02-26
Spice Divine,Chilli Crushed,Ajanta Organics Crushed chilli,50g,$2.49,2.49,https://spicedivine.ca/products/ajanta-organic-crushed-chilli-50g,2026-02-26
Spice Divine,Cumin Powder,Ajanta Organics Cumin Powder,85g,$2.29,2.29,https://spicedivine.ca/products/ajanta-organics-cumin-powder-85g,2026-02-26
